TrialIndex,Participant,Type,Length,SelectC,RT,PresenPos
689,4,I,90,1,2072,sc
690,4,O,50,0,692,cs
691,4,O,130,1,2227,sc
692,4,O,90,0,1624,cs
693,4,I,50,0,756,sc
694,4,I,130,0,985,cs
695,4,I,140,1,642,cs
696,4,I,110,1,3235,cs
697,4,I,120,1,548,cs
698,4,I,70,0,609,cs
699,4,I,150,1,503,cs
700,4,I,110,1,557,sc
701,4,O,150,1,549,cs
702,4,O,90,0,734,sc
703,4,O,130,1,951,sc
704,4,I,150,1,612,cs
705,5,I,80,0,5258,sc
706,5,I,60,0,4717,cs
707,5,O,80,0,1319,sc
708,5,O,50,0,1247,cs
709,5,O,140,1,1935,cs
710,5,O,130,1,2399,sc
711,5,O,60,0,990,sc
712,5,O,70,0,655,cs
713,5,I,150,1,832,sc
714,5,O,150,1,1069,cs
715,5,I,80,0,3167,sc
716,5,O,50,0,790,sc
717,5,I,100,1,1198,sc
718,5,I,130,1,823,sc
719,5,I,140,1,734,cs
720,5,O,120,1,2321,cs
721,5,I,50,0,1069,sc
722,5,O,110,0,1191,cs
723,5,O,120,0,1566,cs
724,5,I,80,0,1295,cs
725,5,I,90,1,3534,sc
726,5,I,70,0,1823,sc
727,5,O,110,0,1191,sc
728,5,I,130,1,855,cs
729,5,I,150,1,742,cs
730,5,O,60,0,806,cs
731,5,O,70,0,614,sc
732,5,I,50,0,839,sc
733,5,I,90,1,1175,sc
734,5,O,60,0,608,cs
735,5,I,50,0,791,sc
736,5,O,60,0,686,sc
737,5,I,140,1,997,cs
738,5,I,100,0,2174,cs
739,5,I,150,1,727,sc
740,5,I,50,0,2687,cs
741,5,O,70,0,623,cs
742,5,O,110,0,615,sc
743,5,O,80,0,1581,cs
744,5,I,140,1,943,sc
745,5,O,130,1,1015,cs
746,5,I,130,1,926,cs
747,5,I,50,0,687,sc
748,5,O,110,0,1222,cs
749,5,O,60,0,582,sc
750,5,O,140,1,792,sc
751,5,I,70,0,1022,cs
752,5,O,90,0,1048,cs
753,5,O,50,0,646,cs
754,5,I,150,1,679,cs
755,5,O,80,0,647,cs
756,5,I,50,0,647,cs
757,5,O,120,1,1535,cs
758,5,I,140,1,590,cs
759,5,I,70,0,968,sc
760,5,O,130,0,1077,cs
761,5,O,100,0,3271,sc
762,5,O,130,1,1080,sc
763,5,I,110,1,1366,sc
764,5,I,120,1,750,sc
765,5,I,150,1,639,sc
766,5,O,80,0,1150,sc
767,5,O,80,0,782,cs
768,5,O,110,0,767,sc
769,5,I,60,0,1510,sc
770,5,I,100,1,2654,sc
771,5,O,110,0,926,cs
772,5,O,140,1,2015,cs
773,5,O,140,1,1439,cs
774,5,I,70,0,806,cs
775,5,I,150,1,655,cs
776,5,O,90,0,855,sc
777,5,I,100,1,3638,cs
778,5,I,70,0,957,cs
779,5,I,100,1,1701,cs
780,5,O,90,0,751,cs
781,5,O,150,1,2422,cs
782,5,O,100,0,1304,sc
783,5,O,140,1,1293,sc
784,5,O,80,0,1047,sc
785,5,O,130,1,4959,sc
786,5,O,100,0,3999,cs
787,5,O,120,0,648,sc
788,5,I,70,0,685,sc
789,5,I,70,0,1181,sc
790,5,I,70,0,494,cs
791,5,O,90,0,1294,sc
792,5,O,90,0,1119,cs
793,5,O,100,0,1239,cs
794,5,O,80,0,727,sc
795,5,O,50,0,696,sc
796,5,I,120,1,685,sc
797,5,I,60,0,958,sc
798,5,I,100,1,1110,sc
799,5,I,140,1,670,sc
800,5,O,50,0,815,cs
801,5,I,90,1,2158,cs
802,5,I,110,1,671,cs
803,5,I,100,1,663,cs
804,5,I,130,1,623,sc
805,5,I,110,1,1447,cs
806,5,I,130,1,517,cs
807,5,I,110,1,631,sc
808,5,I,120,1,783,cs
809,5,I,60,0,911,cs
810,5,I,90,1,2479,cs
811,5,I,90,1,1328,sc
812,5,O,120,0,1199,sc
813,5,O,60,0,1006,cs
814,5,O,90,0,2695,sc
815,5,O,100,0,1398,sc
816,5,I,120,1,1008,sc
817,5,I,140,1,614,cs
818,5,I,90,1,1679,sc
819,5,I,140,1,591,sc
820,5,I,120,1,591,cs
821,5,I,90,0,1175,cs
822,5,I,150,1,638,cs
823,5,I,110,1,1688,cs
824,5,O,100,0,1022,sc
825,5,O,100,0,839,cs
826,5,I,120,1,1232,cs
827,5,I,130,1,2062,cs
828,5,O,120,1,1384,sc
829,5,I,120,1,863,cs
830,5,O,120,1,3414,sc
831,5,O,150,1,1975,sc
832,5,O,140,1,719,sc
833,5,I,150,1,782,sc
834,5,I,80,1,2359,cs
835,5,O,60,0,1149,sc
836,5,O,150,1,1383,sc
837,5,O,100,0,5117,cs
838,5,O,90,0,1759,sc
839,5,O,90,0,1071,cs
840,5,I,110,1,3503,sc
841,5,I,80,0,1023,sc
842,5,O,80,0,1319,cs
843,5,O,140,1,1648,sc
844,5,O,110,1,2173,cs
845,5,I,60,0,1022,sc
846,5,I,90,0,1567,cs
847,5,I,50,0,942,cs
848,5,O,150,1,1383,sc
849,5,O,60,0,1046,cs
850,5,I,60,0,1870,cs
851,5,O,110,0,1527,sc
852,5,I,80,1,2399,cs
853,5,O,130,1,2247,sc
854,5,I,60,0,1166,cs
855,5,I,100,1,1280,sc
856,5,I,50,0,1878,cs
857,5,O,70,0,631,sc
858,5,O,120,0,637,cs
859,5,O,50,0,1239,sc
860,5,O,70,0,967,cs
861,5,O,70,0,615,sc
862,5,O,50,0,719,sc
863,5,O,150,1,902,cs
864,5,O,130,1,2111,cs
865,5,I,80,0,3743,sc
866,5,O,70,0,774,cs
867,5,I,80,1,2128,cs
868,5,I,130,1,734,sc
869,5,O,150,1,2119,cs
870,5,I,110,1,2447,cs
871,5,I,110,1,855,sc
872,5,O,70,0,693,sc
873,5,I,120,1,911,sc
874,5,O,50,0,623,cs
875,5,I,130,1,814,sc
876,5,O,140,1,766,cs
877,5,O,150,1,550,sc
878,5,I,140,1,719,sc
879,5,I,60,0,863,sc
880,5,O,130,1,1455,cs
881,6,I,130,1,1644,sc
882,6,I,60,0,1219,sc
883,6,O,70,0,1202,sc
884,6,O,150,1,1451,cs
885,6,I,70,0,3073,sc
886,6,O,130,1,825,sc
887,6,I,150,1,661,cs
888,6,I,120,1,818,sc
889,6,O,110,0,859,cs
890,6,I,50,0,865,cs
891,6,O,150,1,959,cs
892,6,O,140,1,1010,sc
893,6,O,100,0,775,sc
894,6,I,110,1,693,sc
895,6,I,90,1,1718,cs
896,6,I,50,0,689,cs
897,6,I,50,0,870,cs
898,6,I,100,1,1069,cs
899,6,O,100,0,977,cs
900,6,O,50,0,847,sc
901,6,O,110,0,987,sc
902,6,I,80,1,857,sc
903,6,O,60,0,736,cs
